Entry ID,Jurisdiction ,Date announced,Date implemented,Intervention category,Intervention type,Intervention summary,"Primary source
(news release or specific resource)",Secondary source,Level,"Indigenous 
population group"
AB012,Alta.,2020-03-27,2020-03-27,Health services,Health services — delayed medical procedures ,"Who: Chief Medical Officer of Health, Alberta Precision Laboratories, DynaLIFE 
What: All non-urgent scheduled and elective laboratory testing asked to stop. Critical bloodwork will continue.
Effective until:",https://www.alberta.ca/release.cfm?xID=6994336FBE6D7-E5F7-ABFB-C080199224348CCC,Not applicable,Provincial/territorial,No
AB013,Alta.,No data,2020-03-27,Closures,Closures — recreation,"Who: Ministry of Environment and Parks
What: Restricted parks access — vehicles no longer permitted 
Effective until:",https://www.albertaparks.ca/albertaparksca/news-events/alberta-environment-and-parks-response-to-covid-19/,Not applicable,Provincial/territorial,No
AB014,Alta.,2020-03-30,2020-03-30,Case management,Case management — test criteria,"Who: Alberta Health Services, Chief Medical Officer of Health
What: Stopped testing returning travellers, which explained why daily positive cases temporarily decreased
Effective until:",https://www.alberta.ca/release.cfm?xID=69961C8FA869F-A2ED-1F01-91C6C6B3800FCC51,Not applicable,Provincial/territorial,No
AB016,Alta.,2020-04-01,2020-04-01,Health workforce,Health workforce — safety guidelines,"Who: Government of Alberta, Alberta Health Services, Chief Medical Officer of Health
What: Strict infection prevention protocols implemented in continuing care facilities to stop the spread of infection
Effective until:",https://www.alberta.ca/release.cfm?xID=69983318984AB-AD0B-CC5F-FA861EB82E0C21E4,Not applicable,Provincial/territorial,No
AB017,Alta.,2020-04-01,2020-04-01,Case management,Case management — self-isolation,"Who: Chief Medical Officer of Health
What: Exemption for travellers or those in close contact with COVID-19 positive cases to attend their medically necessary appointments, with permission, in person
Effective until:
",https://www.alberta.ca/release.cfm?xID=69983318984AB-AD0B-CC5F-FA861EB82E0C21E4,Not applicable,Provincial/territorial,No
AB018,Alta.,2020-04-02,2020-04-02,Case management,Case management — test criteria,"Who: Government of Alberta, Alberta Health Services, Chief Medical Officer of Health
What: Required staff and operators in congregate settings to notify public health as soon as a case is suspected or confirmed, or if 2 or more residents exhibit COVID-19 symptoms
Effective until:",https://www.alberta.ca/release.cfm?xID=6998861D619F0-FD4B-F1BD-FCAFA247C962F06C,Not applicable,Provincial/territorial,No
AB019,Alta.,2020-04-03,2020-04-03,Health services,Health services — visitors,"Who: Government of Alberta, Alberta Health Services, Chief Medical Officer of Health
What: Restricted hospital visitors. Patients in hospital no longer permitted any in-person visitors, with some exceptions. 
Effective until:
",https://www.alberta.ca/release.cfm?xID=699969950607B-D32C-5384-72FF67F8EAFEDA54,Not applicable,Provincial/territorial,No
AB020,Alta.,2020-04-06,2020-04-06,Case management,Case management — test criteria,"Who: Government of Alberta, Alberta Health Services, Chief Medical Officer of Health
What: Expanded testing criteria to focus on 
1) symptomatic patients — shortness of breath, runny rose, cough, fever or sore throat — who work in group homes, shelters and correctional facilities, or as first responders or in COVID-19 enforcement; and 
2) symptomatic patients age 65+ with shortness of breath, runny rose, cough, fever or sore throat 
Effective until:",https://www.alberta.ca/release.cfm?xID=70015320DDF94-C4C0-C084-147F2EEE49D2EDA0,Not applicable,Provincial/territorial,No
AB021,Alta.,2020-04-06,2020-04-06,Public information,Public information — masks,"Who: Government of Alberta, Alberta Health Services, Chief Medical Officer of Health
What: Recommendation to wear a face covering to prevent transmission. Does not prevent illness of the person wearing it.
Effective until: ",https://www.alberta.ca/release.cfm?xID=70015320DDF94-C4C0-C084-147F2EEE49D2EDA0,Not applicable,Provincial/territorial,No
AB024,Alta.,2020-04-08,2020-04-08,Public information,Public information — projections,"Who: Ministry of Health
What: Released projections for cases and critical care capacity
Effective until:",https://www.alberta.ca/covid-19-alberta-data.aspx,https://www.alberta.ca/assets/documents/covid-19-case-modelling-projection.pdf,Provincial/territorial,No
AB025,Alta.,2020-04-08,2020-04-08,Case management,Case management — test criteria,"Who: Government of Alberta, Alberta Health Services, Chief Medical Officer of Health
What: Expanded testing criteria to include 1) anyone in the Calgary health zone with symptoms: shortness of breath, runny rose, cough, fever or sore throat; 2) essential workers in any health zone; 3) anyone in any health zone who has symptoms AND lives with someone over 65 years old 
Effective until:",https://www.alberta.ca/release.cfm?xID=700419C42FE25-A580-998C-F6D9A324453B7F69,Not applicable,Provincial/territorial,No
AB026,Alta.,2020-04-10,2020-04-10,Health workforce,Health workforce — safety guidelines,"Who: Government of Alberta, Alberta Health Services, Chief Medical Officer of Health
What: All workers in long-term care and Alberta Health Services contracted provider and community settings are required to wear masks at all times while providing direct patient care. 
Effective until:",https://www.alberta.ca/release.cfm?xID=700808F1AD262-0CEB-433E-C93F2450668973EA,Not applicable,Provincial/territorial,No
AB028,Alta.,2020-04-13,2020-04-13,Case management,Case management — test criteria,"Who: Government of Alberta, Alberta Health Services, Chief Medical Officer of Health
What: Expanded testing criteria to anyone in Alberta who has a fever, cough, shortness of breath, a runny nose or a sore throat
Effective until:",https://www.alberta.ca/release.cfm?xID=7008498980F35-9211-D7B4-D8F044053FCA3D9E,Not applicable,Provincial/territorial,No
AB029,Alta.,2020-03-01,2020-03-01,Health workforce,Health workforce — licence reinstatement/reclassification,"Who: College of Licensed Practical Nurses of Alberta 
What: Waived or modified registration requirements for former licensed practical nurses, allowing them to apply for temporary registration during the pandemic
Effective until: ",https://www.clpna.com/applicants/previously-licensed-alberta/,Not applicable,Provincial/territorial,No
AB030,Alta.,2020-03-12,2020-03-12,Case management,Case management — test criteria,"Who: Alberta Health Services, medical officers of health
What: Published criteria for physicians and front-line clinical staff to prioritize screening people with fever and/or a cough or shortness of breath if they met specific criteria within 14 days before their symptoms started 
Effective until:",https://www.albertahealthservices.ca/assets/info/hp/phys/if-hp-phys-moh-novel-coronavirus-update-external.pdf,Not applicable,Provincial/territorial,No
AB032,Alta.,2020-03-13,2020-03-13,Health workforce,Health workforce — safety guidelines,"Who: Alberta Health Services 
What: Daily Fit for Work Screening Protocol for health care staff before reporting to their workplace or unit if they have interactions with patients or staff
Effective until:","https://www.albertahealthservices.ca/topics/Page16947.aspx
",https://www.albertahealthservices.ca/assets/healthinfo/ipc/hi-ipc-emerging-issues-ncov.pdf,Provincial/territorial,No
AB033,Alta.,2020-03-15,2020-03-15,Closures,Closures — education,"Who: Government of Alberta, Chief Medical Officer of Health, Premier
What: Closure of elementary, middle and high schools
Effective until:",https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05,Not applicable,Provincial/territorial,No
AB034,Alta.,2020-03-15,2020-03-15,Closures,Closures — daycares,"Who: Government of Alberta, Chief Medical Officer of Health, Premier
What: Licensed child care, out-of-school care and preschool programs are closed.
Effective until:",https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05,Not applicable,Provincial/territorial,No
AB035,Alta.,2020-03-15,2020-03-15,Closures,Closures — education,"Who: Government of Alberta, Chief Medical Officer of Health, Premier
What: In-person classes are cancelled for post-secondary education.
Effective until:",https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05#toc-1,Not applicable,Provincial/territorial,No
AB036,Alta.,2020-03-16,2020-03-16,Health services,Health services — telemedicine/virtual care,"Who: Alberta College of Speech-Language Pathologists and Audiologists
What: Provided guidance for non-essential services delivered virtually
Effective until: ",https://www.acslpa.ca/telepractice-information-for-acslpa-members/,https://www.acslpa.ca/covid-19-information/,Provincial/territorial,No
AB037,Alta.,2020-03-16,2020-03-16,Health workforce,Health workforce — licence reinstatement/reclassification,"Who: College of Physicians and Surgeons of Alberta 
What: Launched CPSA Emergency Register to allow physicians currently registered in another province or territory to temporarily work in Alberta during emergency circumstances, such as the current COVID-19 pandemic
Effective until: ",http://www.cpsa.ca/resources-for-physicians-during-covid-19/,Not applicable,Provincial/territorial,No
AB038,Alta.,2020-03-16,2020-03-16,Health workforce,Health workforce — licence reinstatement/reclassification,"Who: College and Association of Registered Nurses of Alberta 
What: Waived or modified registration requirements for former nurses, allowing them to apply for temporary registration during the pandemic on an expedited basis and at no cost; valid for 4 months
Effective until: ",https://nurses.ab.ca/about/what-is-carna/news/news-story/updates-on-novel-coronavirus-covid19,Not applicable,Provincial/territorial,No
AB039,Alta.,No data,2020-03-16,Closures,Closures — recreation,"Who: Ministry of Environment and Parks
What: Restricted park facility access, keeping parks accessible. Subsequent further restrictions made.
Effective until:",https://www.albertaparks.ca/albertaparksca/news-events/alberta-environment-and-parks-response-to-covid-19/,https://www.alberta.ca/release.cfm?xID=69824F7F2458A-DEF9-DF5F-5D30179FC782386D,Provincial/territorial,No
AB040,Alta.,2020-03-15,2020-03-17,Distancing,Distancing — gatherings,"Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: Prohibited gatherings of more than 50 people. Essential services not included.
Effective until: 2020-03-27",https://www.alberta.ca/release.cfm?xID=69828242A5FFC-D75A-C83E-690D8028C0C4E09F,https://www.alberta.ca/release.cfm?xID=69818C355F188-C2A3-F5C6-875A2A33929D5C05,Provincial/territorial,No
AB041,Alta.,2020-03-17,2020-03-17,State of emergency,State of emergency,"Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: Declared a public health state of emergency 
Effective until: 2020-06-15",https://www.alberta.ca/release.cfm?xID=69828242A5FFC-D75A-C83E-690D8028C0C4E09F ,Not applicable,Provincial/territorial,No
AB042,Alta.,2020-03-17,2020-03-17,Closures,Closures — recreation,"Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: Ordered closure of some publicly available institutions including arenas, museums, galleries, community centres, etc.
Effective until: ",https://www.alberta.ca/release.cfm?xID=69828242A5FFC-D75A-C83E-690D8028C0C4E09F,Not applicable,Provincial/territorial,No
AB043,Alta.,2020-03-17,2020-03-17,Closures,Closures — recreation,"Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: Ordered closures of private entertainment facilities including gyms, swimming pools, casinos, etc.
Effective until: ",https://www.alberta.ca/release.cfm?xID=69828242A5FFC-D75A-C83E-690D8028C0C4E09F ,Not applicable,Provincial/territorial,No
AB044,Alta.,2020-03-17,2020-03-17,Closures,Closures — non-essential services,"Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: Limited capacity of sit-down restaurants, cafes, coffee shops, food courts and other facilities. Takeout permitted. Bars ordered closed.
Effective until: 2020-03-27",https://www.alberta.ca/release.cfm?xID=69828242A5FFC-D75A-C83E-690D8028C0C4E09F,Not applicable,Provincial/territorial,No
AB046,Alta.,2020-03-18,2020-03-18,Health services,Health services — delayed medical procedures ,"Who: Government of Alberta, Premier, Chief Medical Officer of Health
What: All non-urgent scheduled and elective surgeries are postponed. Urgent and emergent care, oncology and C-section procedures will continue.
Effective until:",https://www.alberta.ca/release.cfm?xID=698475F92ADBC-E588-02F3-7B986A4CD7641A45,Not applicable,Provincial/territorial,No
AB048,Alta.,2020-03,2020-03,Health workforce,Health workforce — licence reinstatement/reclassification,"Who: Alberta College of Medical Diagnostic and Therapeutic Technologists
What: Waived or modified registration requirements for former registered medical radiation technologists (MRTs), allowing them to apply for temporary registration during the pandemic; valid for 90 days
Effective until:",https://acmdtt.com/applicants/courtesy-registration/,Not applicable,Provincial/territorial,No
AB049,Alta.,No data,2020-03-20,Contextual information,Contextual information — holiday,"Who: Boards of education
What: Spring breaks in Alta. vary by region. Calgary Board of Education example provided.
Effective until: 2020-03-27",https://www.cbe.ab.ca/registration/calendars/Documents/2019-2020-Traditional-Calendar.pdf,Not applicable,Provincial/territorial,No
AB050,Alta.,2020-03-27,2020-03-27,Closures,Closures — health services,"Who: Government of Alberta
What: Suspended all non-emergency and non-critical health services provided by regulated health professionals or registered professionals including dentistry, dietitians, physiotherapy, occupational therapy, massage, podiatry, chiropractic and optometry.
Effective until:",https://www.alberta.ca/restrictions-on-gatherings-and-businesses.aspx#toc-2,https://www.cbc.ca/news/canada/edmonton/alberta-covid-19-coronavirus-deena-hinshaw-1.5512445,Provincial/territorial,No
AB051,Alta.,2020-03-30,2020-03-30,Health services,Health services — telemedicine/virtual care,"Who: College of Licensed Practical Nurses of Alberta 
What: Provided standards of practice for provision of virtual care.
Effective until: ",https://www.clpna.com/2020/03/common-questions-on-lpn-practice-during-covid-19-info-sheet/,Not applicable,Provincial/territorial,No
AB053,Alta.,2020-04-10,2020-04-10,Health workforce,Health workforce — safety guidelines,"Who: Government of Alberta, Alberta Health Services, Chief Medical Officer of Health
What: Order restricting movement of staff members between health care facilities
Effective until:",https://open.alberta.ca/publications/cmoh-order-10-2020-2020-covid-19-response,Not applicable,Provincial/territorial,No
AB054,Alta.,2020-03-23,No data,Health services,Health services — telemedicine/virtual care,"Who: Government of Alberta, Minister of Health, President of the Alberta Medical Association
What: Added new temporary physician billing codes to the schedule of medical benefits
Effective until:",https://www.alberta.ca/release.cfm?xID=69903565330D3-E112-D2BA-74B6070F51E005BA  ,Not applicable,Provincial/territorial,No
AB055,Alta.,2020-04-17,No data,Health workforce,Health workforce — licence reinstatement/reclassification,"Who: Alberta College of Paramedics 
What: Waived or modified registration requirements for former paramedics, allowing them to apply for temporary registration during the pandemic on an expedited basis and at no cost; valid for 3 months
Effective until:",https://abparamedics.com/covid-19-updates/,Not applicable,Provincial/territorial,No
AB056,Alta.,2020-04-17,No data,Health workforce,Health workforce — change in practice,"Who: Alberta College of Pharmacy
What: Issued guidelines on change in practice scope for pharmacists, including guidance for prescription delivery, delivery of drugs to assisted living facilities, prescribing and dispensing of drugs to treat COVID-19, administering injections to patients during the COVID-19 pandemic, providing virtual care to patients and managing patient medication supply 
Effective until: ",https://abpharmacy.ca/covid-19-guidance-pharmacists-and-pharmacy-technicians,Not applicable,Provincial/territorial,No
AB057,Alta.,No data,No Data,Distancing,Distancing — work from home,"Who: Government of Alberta
What: Encourage businesses to promote business continuity plans, working from home or remotely where possible
Effective until:",https://www.alberta.ca/covid-19-support-for-employers.aspx ,Not applicable,Provincial/territorial,No
AB059,Alta.,No data,No data,Health workforce,Health workforce — licence reinstatement/reclassification,"Who: College of Physicians and Surgeons of Alberta 
What: Granted an unrestricted licence to post-graduate trainees who have completed their training, not requiring supervision
Effective until: 2021-06-30",https://mailchi.mp/cpsa/how-cpsa-is-dealing-with-cancelled-exams-364151,Not applicable,Provincial/territorial,No
AB060,Alta.,No data,No data,Health workforce,Health workforce — licence reinstatement/reclassification,"Who: College and Association of Respiratory Therapists of Alberta 
What: Published information on emergency registration requirements for retired/inactive/out-of-province/student respiratory therapists, allowing them to apply for temporary registration during the pandemic
Effective until: 2020-09-30",https://www.carta.ca/courtesy-register-for-covid-19.aspx,Not applicable,Provincial/territorial,No
AB061,Alta.,2020-03-16,2020-03-16,Health workforce,Health workforce — licence reinstatement/reclassification,"Who: College of Physicians and Surgeons of Alberta 
What: Waived or modified registration requirements for former physician assistants, allowing them to apply for temporary registration during the pandemic on an expedited basis and at no cost
Effective until: ",http://www.cpsa.ca/resources-for-physicians-during-covid-19/,Not applicable,Provincial/territorial,No
AB062,Alta.,2020-03-17,2020-03-17,Closures,Closures — health services,"Who: College of Dietitians of Alberta — Alberta Registered Dietitians’ Association 
What: Suspended all non-essential/non-emergency treatment and services.
Effective until: ",http://collegeofdietitians.ab.ca/a-message-from-the-registrar-on-covid-19/,Not applicable,Provincial/territorial,No
AB063,Alta.,2020-03-24,2020-03-24,Health services,Health services — telemedicine/virtual care,"Who: College of Dietitians of Alberta — Alberta Registered Dietitians’ Association 
What: Provided guidance on non-essential services delivered virtually.
Effective until: ",http://collegeofdietitians.ab.ca/wp-content/uploads/2020/03/Dietitians-using-Electronic-or-Virtual-Communications-1.pdf,Not applicable,Provincial/territorial,No
AB064,Alta.,2020-03-26,2020-03-17,Closures,Closures — health services,"Who: College of Alberta Dental Assistants 
What: Suspended all non-essential/non-emergency treatment and services.
Effective until: ",https://abrda.ca/front-page/rda-practice-during-covid-19/,Not applicable,Provincial/territorial,No
AB065,Alta.,2020-03-31,2020-03-27,Health services,Health services — telemedicine/virtual care,"Who: College of Alberta Psychologists 
What: Recommended that members participate in telepractice where possible and restrict in-person care to urgent cases only.
Effective until: ",https://www.cap.ab.ca/covid-19-updates-and-information,Not applicable,Provincial/territorial,No
AB066,Alta.,No data,No data,Health services,Health services — telemedicine/virtual care,"Who: Alberta Dental Association and College 
What: Non-essential services delivered virtually with specific billing codes for teledentistry.
Effective until: ",https://www.dentalhealthalberta.ca/wp-content/uploads/2020/04/A-Message-for-CDA-Stakeholders.pdf,Not applicable,Provincial/territorial,No
AB071,Alta.,2020-04-20,2020-04-20,Health workforce,Health workforce — supply management,"Who: Government of Alberta, Minister of Health
What: Announced support to increase staffing of health care aides and alleviate pressures in contracted continuing care facilities
Effective until:",https://www.alberta.ca/release.cfm?xID=70127FF594C5C-CE00-2934-863516C3FEDF723E,Not applicable,Provincial/territorial,No
AB079,Alta.,2020-04-28,2020-04-28,Public information,Public information — projections,"Who: Government of Alberta, Office of the Premier
What: Updated projection for cases and critical care capacity
Effective until:",https://www.alberta.ca/assets/documents/covid-19-case-modelling-projection-april-28.pdf,Not applicable,Provincial/territorial,No
AB080,Alta.,2020-04-29,2020-04-29,Distancing,Distancing — gatherings,"Who: Government of Alberta, Chief Medical Officer of Health
What: Issued an exemption to the existing COVID-19 gathering restrictions, and mandated physical distancing in outdoor spaces for the Fort McMurray area due to the emergency flooding situation
Effective until:",https://www.alberta.ca/release.cfm?xID=70207D315BDD2-0E06-E462-9E817EC8B314C55E#toc-6,Not applicable,Provincial/territorial,No
AB081,Alta.,2020-04-28,2020-04-28,Case management,Case management — outbreak definitions,"Who: Government of Alberta, Chief Medical Officer of Health
What: Updated operational and outbreak standards for long-term care and licensed supportive living facilities. The update is specific to how and when the resident should be tested to detect a possible outbreak as well as when an outbreak occurs.
Effective until:",https://open.alberta.ca/dataset/63fd3100-c64c-492e-9be0-cf62d83ad10f/resource/21817ec1-2daa-4d84-9171-c1132cb70963/download/health-cmoh-record-of-decision-cmoh-12-2020.pdf,Not applicable,Provincial/territorial,No
AB082,Alta.,2020-04-29,2020-04-29,Case management,Case management — other,"Who: Government of Alberta, Chief Medical Officer of Health
What: Announced new strategy in place involving prevention and preparedness; rapid response and timely notification of public health; and outbreak management using surveillance data and implementing setting-specific measures
Effective until:",https://www.alberta.ca/release.cfm?xID=70205D0F7B98C-DB8F-FE95-B326545F47729166,Not applicable,Provincial/territorial,No
AB083,Alta.,2020-04-30,2020-04-30,Public information,Public information — pandemic response plans,"Who: Government of Alberta, Office of the Premier
What: Released first preliminary plans to reopen closed businesses
Effective until:",https://www.alberta.ca/release.cfm?xID=70217037B8E9C-C319-32CC-240D33487895E4F7,Not applicable,Provincial/territorial,No
AB084,Alta.,2020-05-01,2020-05-01,Case management,Case management — other,"Who: Government of Alberta, Chief Medical Officer of Health
What: Launching of the new ABTraceTogether app to enhance current manual tracing processes and help Albertans prevent community spread by quickly alerting people who may be at risk
Effective until:",https://www.alberta.ca/release.cfm?xID=702323575C511-AE93-C894-E1697D246FD90B38,Not applicable,Provincial/territorial,No
AB085,Alta.,2020-05-04,2020-05-04,Health workforce,Health workforce — change in practice,"Who: Government of Alberta, Minister of Health
What: Modified regulations to allow nurse practitioners to provide expanded care to nursing home residents
Effective until:",https://www.alberta.ca/release.cfm?xID=71250C5D71902-FADC-21BD-C052BEC9A12ED2A8,Not applicable,Provincial/territorial,No
AB087,Alta.,2020-05-05,2020-05-05,Health services,Health services — equipment,"Who: Government of Alberta, Officer of the Premier, Minister of Health, Alberta Health Services
What: Announced investment of $1.7 million into virus detecting equipment and technology, doubling Alberta’s maximum capacity for testing from 7,000 to 16,000 tests per day by June through investing in virus detecting equipment and technology
Effective until:",https://www.alberta.ca/release.cfm?xID=71270025A4DC1-FB15-F194-0E10491C5AB8AD29,Not applicable,Provincial/territorial,No
AB088,Alta.,2020-04-28,2020-04-28,Health workforce,Health workforce — safety guidelines,"Who: Government of Alberta, Chief Medical Officer of Health
What: Ordered restrictions on movement of staff members in residential addiction treatment service facilities. This order also includes information on personal protective equipment.
Effective until:",https://open.alberta.ca/dataset/2410b30f-2146-40b1-9a9f-a9010c702b0a/resource/41db09c6-612f-4363-89ea-b6e814dfcb30/download/health-cmoh-record-of-decision-cmoh-13-2020.pdf,Not applicable,Provincial/territorial,No
AB089,Alta.,2020-04-28,2020-04-28,Health services,Health services — visitors,"Who: Government of Alberta, Chief Medical Officer of Health
What: Amended previous order on limits on guest visitation at health care facilities in Alberta to allow for outdoor visits with a designated essential visitor and 1 other person (maximum group of 3) and to allow for visitation at end of life
Effective until:",https://open.alberta.ca/dataset/1a2011e5-fc79-43b4-aab0-1c276b16b99b/resource/35ab8044-8c19-480a-9799-ef4f9b95c376/download/health-cmoh-record-of-decision-cmoh-14-2020.pdf,Not applicable,Provincial/territorial,No
AB090,Alta.,2020-05-01,2020-05-01,Openings,Openings — recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Ordered removal of prohibition from attending a golf course, for the purpose of playing golf
Effective until:",https://open.alberta.ca/dataset/780f1365-f497-4cec-92f4-d8b5b7b506a5/resource/2e57b700-a629-4b0e-a278-a1d7400f4c87/download/health-cmoh-record-of-decision-cmoh-15-2020.pdf,Not applicable,Provincial/territorial,No
AB091,Alta.,2020-05-03,2020-05-04,Openings,Openings — health services,"Who: Government of Alberta, Chief Medical Officer of Health
What: Announced the resumption of non-essential health services for Albertans. For regulated health professionals, the college of each will be responsible for providing guidelines to its members who operate community health care clinics. 
Effective until:",https://open.alberta.ca/dataset/2a615f78-aa9e-48d9-a323-9f2c08b07667/resource/fcca7551-9a32-4ec0-9545-aa5163f8a284/download/health-cmoh-record-of-decision-cmoh-16-2020.pdf,Not applicable,Provincial/territorial,No
AB092,Alta.,2020-05-05,2020-05-06,Openings,Openings — recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Removed the prohibition from attending an outdoor shooting range
Effective until:",https://open.alberta.ca/dataset/402b7ea1-be63-4ce6-94a2-ea5e4383031d/resource/23cc0115-9b3a-45f6-91e3-f5219d7cd9bd/download/health-cmoh-record-of-decision-cmoh-17-2020.pdf,Not applicable,Provincial/territorial,No
AB093,Alta.,2020-05-04,2020-05-04,Health workforce,Health workforce — safety guidelines,"Who: Alberta College of Speech-Language Pathologists and Audiologists
What: Published a guide describing the legislated obligations that apply to speech-language pathologists and audiologists as they reopen their practices
Effective until: ",https://www.acslpa.ca/Covid-19-pandemic-information/,Not applicable,Provincial/territorial,No
AB094,Alta.,2020-04-30,2020-04-30,Openings,Openings — health services,"Who: Alberta College of Speech-Language Pathologists and Audiologists
What: Announced that non-essential services should not resume unless several conditions are met: new guidelines for reopened services are published; a sufficient supply of cleaners, sanitizers and personal protective equipment is acquired; and employers must meet occupational health and safety requirements
Effective until: ",https://www.acslpa.ca/Covid-19-pandemic-information/,Not applicable,Provincial/territorial,No
AB095,Alta.,2020-04-23,2020-04-23,Health services,Health services — telemedicine/virtual care,"Who: Alberta College and Association of Chiropractors 
What: Expanded telehealth permissions so that chiropractors can conduct virtual consults with new patients. Chiropractors must first receive permission from college.
Effective until: 2021-06-30",https://albertachiro.com/ACAC/Practice_Resources/Temporary_telehealth_permission.aspx,Not applicable,Provincial/territorial,No
